species pb_percent_m6A m6A A/T pb_percent_m6AoverA tot_length pb_percent_m6Aover2xLEN
B.subtilis  0.023512975 1060 2285903 0.0463711714 4090859 0.0129557141
E.coli  0.414149181 40493 2423680 1.6707238579 4895096 0.4136078230
E.faecalis  0.141490965 6079 1787485 0.3400867699 2865554 0.1060702398
L.monocytogenes 0.015036077 906 1868944 0.0484765728 3012754 0.0150360766
P.aeruginosa   0 0 2304251 0 6811589 0 
S.aureus    0.023512975 1292 1858000 0.0695371367 2785696 0.0231898958
S.cerevisiae    0 0 7944146 0 12843354 0
S.enterica  0.450613004 43559 2312222 1.8838589028 4852168 0.4488612100
